lsoa21cd,imd_rank,imd_dec
E01000001,26525,8
E01000002,31203,10
E01000003,25913,8
E01000005,14807,5
E01000006,10917,4
E01000007,5377,2
E01000008,4400,2
E01000009,4812,2
E01000011,5535,2
E01000012,5278,2
E01000013,7410,3
E01000014,9243,3
E01000015,8120,3
E01000016,10202,4
E01000017,7452,3
E01000018,8300,3
E01000019,7965,3
E01000020,8264,3
E01000021,5192,2
E01000022,8043,3
E01000024,8426,3
E01000025,8359,3
E01000027,6841,3
E01000028,6021,2
E01000029,15432,5
E01000030,6345,2
E01000031,13927,5
E01000032,10040,3
E01000033,6743,2
E01000034,8994,3
E01000035,8514,3
E01000036,10874,4
E01000037,16580,5
E01000038,16728,5
E01000039,17151,6
E01000040,5208,2
E01000041,10397,4
E01000042,4753,2
E01000043,9631,3
E01000044,7562,3
E01000045,6387,2
E01000046,9497,3
E01000049,5459,2
E01000050,7897,3
E01000051,7571,3
E01000052,6208,2
E01000053,6763,3
E01000054,9055,3
E01000055,8945,3
E01000056,4599,2
E01000057,8843,3
E01000058,8503,3
E01000059,9848,3
E01000060,7035,3
E01000061,1545,1
E01000062,10394,4
E01000063,10883,4
E01000064,7649,3
E01000065,5811,2
E01000066,13708,5
E01000067,11472,4
E01000068,12348,4
E01000069,18866,6
E01000070,12968,4
E01000071,13366,4
E01000072,5523,2
E01000073,8025,3
E01000074,8640,3
E01000075,10481,4
E01000076,8315,3
E01000077,6646,2
E01000078,7165,3
E01000079,9422,3
E01000080,9673,3
E01000081,11202,4
E01000082,8446,3
E01000083,6814,3
E01000084,6644,2
E01000085,5699,2
E01000086,6870,3
E01000087,7092,3
E01000088,9752,3
E01000089,8110,3
E01000090,8847,3
E01000091,4644,2
E01000093,3999,2
E01000094,12032,4
E01000095,6862,3
E01000096,6611,2
E01000097,7385,3
E01000098,5725,2
E01000099,11925,4
E01000100,9927,3
E01000101,6585,2
E01000102,6771,3
E01000103,10456,4
E01000104,6517,2
E01000105,4451,2
E01000106,3580,2
E01000107,12519,4
E01000108,9311,3
E01000110,16154,5
E01000111,9532,3
E01000112,10982,4
E01000113,8791,3
E01000114,9786,3
E01000115,30546,10
E01000116,25568,8
E01000117,25250,8
E01000118,23486,7
E01000119,27394,9
E01000120,29768,9
E01000121,8255,3
E01000122,26263,8
E01000123,18894,6
E01000124,11873,4
E01000126,6096,2
E01000127,8055,3
E01000128,8961,3
E01000129,3668,2
E01000130,9376,3
E01000131,12031,4
E01000132,7980,3
