constituency_code,constituency_name,region_name,winning_party,eligible_voters,valid_votes,conservative_votes,labour_votes,libdem_votes,conservative_vote_share,labour_vote_share,libdem_vote_share,aged_15_years_and_under,aged_16_to_24_years,aged_25_to_34_years,aged_35_to_49_years,aged_50_years_and_over,eco_not_applicable,eco_active_employed,eco_active_unemployed,eco_inactive,eth_asian,eth_black,eth_mixed,eth_white,eth_other,pop_50plus_40percent,pop_white_90percent
W07000081,Aberafan Maesteg,Wales,Lab,72580,35755,2903,17838,916,0.08119144175639771,0.49889525940427915,0.02561879457418543,0.18606535241695923,0.0955981636510937,0.12438563327032136,0.17963813124493655,0.4143127194166892,0.18606535241695923,0.4104995949230354,0.024574669187145556,0.37886038347285983,0.015446768060836502,0.002246802627030764,0.010704718285516765,0.9689120290356031,0.0026896819910127894,yes,yes
E14001063,Aldershot,South East,Lab,78553,48544,14081,19764,4052,0.2900667435728411,0.4071357943309163,0.08347066578773896,0.18537852337562805,0.09982117005875842,0.1582474665758324,0.20773226603082687,0.34882057395895427,0.18537852337562805,0.5294217831899856,0.02469556331431491,0.2605041301200715,0.13277697351613726,0.023673677935791535,0.025002128927871924,0.7933407136166226,0.025206506003576597,no,no
E14001064,Aldridge-Brownhills,West Midlands,Con,70268,40912,15901,11607,1755,0.3886634728197106,0.28370649198279235,0.04289694955025421,0.17791024367315109,0.08992725058487966,0.11461504769840507,0.17770727173669199,0.4398401863068722,0.17791404488980525,0.46124755627250097,0.02394051726900766,0.3368978815686861,0.08698067452220454,0.020799726516179347,0.02402598096296217,0.8536113752176654,0.0145822427809886,yes,no
E14001065,Altrincham and Sale West,North West,Lab,74025,51452,16624,20798,4727,0.323097255694628,0.4042214102464433,0.09187203607245588,0.21283341920653165,0.0822599183544053,0.10071935317664778,0.21904601482303515,0.3851412944393801,0.21283341920653165,0.47297966786889145,0.020064603067654868,0.29412230985692206,0.12081368158218066,0.016517379414212673,0.03218263247592248,0.8056161071697515,0.024870199357932703,no,no
W07000082,Alyn and Deeside,Wales,Lab,75790,43392,7892,18395,2065,0.18187684365781712,0.4239260693215339,0.047589417404129794,0.18195979308723254,0.08995610941296339,0.13046672936750528,0.1913257308566502,0.40629163727564854,0.18195979308723254,0.48826318677012304,0.023258092326984874,0.30651892781565954,0.011148992867779607,0.002263108394074771,0.009943961125480053,0.9726467591504037,0.003997178462261932,yes,yes
E14001066,Amber Valley,East Midlands,Lab,71546,42531,10725,15746,1590,0.2521690061367003,0.37022407185347156,0.03738449601467165,0.16952117353999446,0.0869526709106006,0.1250041516745087,0.17908663160808191,0.4394353722668143,0.16952868103763244,0.4743083003952569,0.020449286433941165,0.33571373213316946,0.008026837315382741,0.0026128739399038994,0.010650782755031996,0.9768716370319523,0.001837868957729014,yes,yes
E14001067,Arundel and South Downs,South East,Con,77969,54740,22001,9782,9867,0.40191815856777496,0.17869930580928023,0.18025210084033613,0.1586486514298651,0.07529559463659097,0.08165512415489262,0.16092285211521246,0.5234777776634388,0.1586486514298651,0.45828745485042754,0.017617337435813,0.36544655628389433,0.01013593471840624,0.0034060856769466655,0.01474598421469659,0.967842846705564,0.0038691486843865446,yes,yes
E14001068,Ashfield,East Midlands,Other,68929,39882,3271,11554,619,0.0820169500025074,0.2897046286545309,0.015520786319642947,0.18491507229904652,0.09249436972490581,0.12812822293784598,0.1834417292837448,0.41102060575445687,0.1849170183433136,0.45828816787867943,0.02400521989875922,0.3327895938792477,0.014796729144083939,0.009713642247503183,0.013660138285221161,0.9573883667820797,0.004441123541111965,yes,yes
E14001069,Ashford,South East,Lab,76233,46975,13483,15262,2445,0.28702501330494945,0.3248962213943587,0.05204896221394359,0.2054467495506291,0.09618409227082085,0.13834069802276813,0.19806021569802276,0.36196824445775916,0.2054467495506291,0.4890465847813062,0.024312837028160575,0.2811938286399041,0.06968993409227082,0.02978018274415818,0.02357324745356501,0.8601520371479928,0.016804598562013183,no,no
E14001070,Ashton-under-Lyne,North West,Lab,71002,35461,4375,15575,1411,0.12337497532500494,0.4392149121570176,0.03979019204196159,0.20579973810214017,0.09831165845320325,0.1405351912754026,0.19403432661262107,0.3613190855566329,0.20579973810214017,0.446905706774358,0.030428133028119034,0.3168664220953828,0.13630547780887645,0.032626949220311875,0.024050379848060775,0.7949520191923231,0.012065173930427829,no,no
