constituency_code,constituency_name,region_name,winning_party,eligible_voters,valid_votes,conservative_votes,labour_votes,libdem_votes,conservative_vote_share,labour_vote_share,libdem_vote_share
W07000081,Aberafan Maesteg,Wales,Lab,72580,35755,2903,17838,916,0.08119144175639771,0.49889525940427915,0.02561879457418543
E14001063,Aldershot,South East,Lab,78553,48544,14081,19764,4052,0.2900667435728411,0.4071357943309163,0.08347066578773896
E14001064,Aldridge-Brownhills,West Midlands,Con,70268,40912,15901,11607,1755,0.3886634728197106,0.28370649198279235,0.04289694955025421
E14001065,Altrincham and Sale West,North West,Lab,74025,51452,16624,20798,4727,0.323097255694628,0.4042214102464433,0.09187203607245588
W07000082,Alyn and Deeside,Wales,Lab,75790,43392,7892,18395,2065,0.18187684365781712,0.4239260693215339,0.047589417404129794
E14001066,Amber Valley,East Midlands,Lab,71546,42531,10725,15746,1590,0.2521690061367003,0.37022407185347156,0.03738449601467165
E14001067,Arundel and South Downs,South East,Con,77969,54740,22001,9782,9867,0.40191815856777496,0.17869930580928023,0.18025210084033613
E14001068,Ashfield,East Midlands,Other,68929,39882,3271,11554,619,0.0820169500025074,0.2897046286545309,0.015520786319642947
E14001069,Ashford,South East,Lab,76233,46975,13483,15262,2445,0.28702501330494945,0.3248962213943587,0.05204896221394359
E14001070,Ashton-under-Lyne,North West,Lab,71002,35461,4375,15575,1411,0.12337497532500494,0.4392149121570176,0.03979019204196159
E14001071,Aylesbury,South East,Lab,79169,49940,14451,15081,10440,0.2893672406888266,0.30198237885462553,0.2090508610332399
E14001072,Banbury,South East,Lab,73250,48178,15212,18468,4352,0.31574577608036863,0.38332849018224086,0.0903316866619619
W07000083,Bangor Aberconwy,Wales,Lab,70527,41660,9036,14008,1524,0.2168987037926068,0.33624579932789245,0.03658185309649544
E14001073,Barking,London,Lab,79822,36477,4294,16227,1015,0.11771801409107109,0.4448556624722428,0.02782575321435425
E14001074,Barnsley North,Yorkshire and The Humber,Lab,78274,36894,3083,18610,1336,0.08356372309860682,0.5044180625575975,0.03621185016533854
E14001075,Barnsley South,Yorkshire and The Humber,Lab,75853,35082,3247,16399,1172,0.09255458639758281,0.4674476939741178,0.03340744541360242
E14001076,Barrow and Furness,North West,Lab,74980,42221,13213,18537,1680,0.312948532720684,0.43904691977925675,0.0397906255181071
E14001077,Basildon and Billericay,East of England,Con,76873,42124,12905,12885,2292,0.30635742094767826,0.30588263222865825,0.05441078719969614
E14001078,Basingstoke,South East,Lab,78487,48989,14438,20922,3176,0.29471922268264306,0.42707546592092105,0.06483088040172283
E14001079,Bassetlaw,East Midlands,Lab,78161,44878,12708,18476,1996,0.2831676990953251,0.4116939257542671,0.04447613530014707
E14001080,Bath,South West,LD,69662,48130,7659,8665,19883,0.15913151880324122,0.18003324329939746,0.4131103261998753
E14001081,Battersea,London,Lab,72827,47082,10944,22983,4826,0.2324455205811138,0.4881483369440551,0.10250201775625505
E14001082,Beaconsfield,South East,Con,72751,47726,18494,7216,13039,0.38750366676444703,0.1511964128567238,0.2732053807149143
E14001083,Beckenham and Penge,London,Lab,77198,52222,12848,25753,4436,0.2460265788365057,0.49314465167936883,0.08494504231932902
