lsoa21cd,lsoa21nm,eco_active_unemployed21,pop21
E01000001,City of London 001A,32,1478
E01000002,City of London 001B,30,1383
E01000003,City of London 001C,68,1614
E01000005,City of London 001E,60,1099
E01000006,Barking and Dagenham 016A,57,1844
E01000007,Barking and Dagenham 015A,154,2908
E01000008,Barking and Dagenham 015B,67,1797
E01000009,Barking and Dagenham 016B,82,1804
E01000011,Barking and Dagenham 016C,68,1699
E01000012,Barking and Dagenham 015D,112,2346
E01000013,Barking and Dagenham 013A,76,1871
E01000014,Barking and Dagenham 013B,59,1751
E01000015,Barking and Dagenham 009A,87,2415
E01000016,Barking and Dagenham 009B,56,1849
E01000017,Barking and Dagenham 009C,68,1724
E01000018,Barking and Dagenham 009D,57,1775
E01000019,Barking and Dagenham 023A,55,1657
E01000020,Barking and Dagenham 023B,102,2188
E01000021,Barking and Dagenham 008A,64,1693
E01000022,Barking and Dagenham 008B,49,1477
E01000024,Barking and Dagenham 008D,73,1486
E01000025,Barking and Dagenham 008E,70,1919
E01000027,Barking and Dagenham 001A,78,2082
E01000028,Barking and Dagenham 001B,64,1817
E01000029,Barking and Dagenham 001C,45,1818
E01000030,Barking and Dagenham 001D,91,2564
E01000031,Barking and Dagenham 002A,62,1769
E01000032,Barking and Dagenham 002B,86,2077
E01000033,Barking and Dagenham 006A,45,1544
E01000034,Barking and Dagenham 003A,53,1578
E01000035,Barking and Dagenham 010A,68,1858
E01000036,Barking and Dagenham 010B,47,1467
E01000037,Barking and Dagenham 003B,75,1698
E01000038,Barking and Dagenham 003C,52,1617
E01000039,Barking and Dagenham 003D,46,1752
E01000040,Barking and Dagenham 019A,72,1877
E01000041,Barking and Dagenham 017A,78,1842
E01000042,Barking and Dagenham 017B,71,1884
E01000043,Barking and Dagenham 019B,60,1540
E01000044,Barking and Dagenham 016D,68,1988
E01000045,Barking and Dagenham 017C,68,1723
E01000046,Barking and Dagenham 017D,78,1957
E01000049,Barking and Dagenham 021C,92,1975
E01000050,Barking and Dagenham 019C,42,1842
E01000051,Barking and Dagenham 021D,33,1107
E01000052,Barking and Dagenham 019D,72,2368
E01000053,Barking and Dagenham 020A,63,1617
E01000054,Barking and Dagenham 018A,58,1869
E01000055,Barking and Dagenham 018B,51,1705
E01000056,Barking and Dagenham 018C,66,1702
E01000057,Barking and Dagenham 012A,63,1552
E01000058,Barking and Dagenham 018D,102,2136
E01000059,Barking and Dagenham 013C,55,1710
E01000060,Barking and Dagenham 006B,74,2180
E01000061,Barking and Dagenham 006C,88,1926
E01000062,Barking and Dagenham 006D,58,2218
E01000063,Barking and Dagenham 004A,59,1780
E01000064,Barking and Dagenham 006E,64,2296
E01000065,Barking and Dagenham 007A,83,1983
E01000066,Barking and Dagenham 011A,54,2499
E01000067,Barking and Dagenham 011B,69,2237
E01000068,Barking and Dagenham 016E,42,1795
E01000069,Barking and Dagenham 011C,62,2094
E01000070,Barking and Dagenham 011D,74,2075
E01000071,Barking and Dagenham 011E,81,2605
E01000072,Barking and Dagenham 017E,78,2150
E01000073,Barking and Dagenham 012B,36,1849
E01000074,Barking and Dagenham 012C,61,1761
E01000075,Barking and Dagenham 012D,52,2081
E01000076,Barking and Dagenham 012E,94,2162
E01000077,Barking and Dagenham 008F,65,1719
E01000078,Barking and Dagenham 007B,65,1900
E01000079,Barking and Dagenham 009E,54,1718
E01000080,Barking and Dagenham 007C,58,1776
E01000081,Barking and Dagenham 007D,96,1976
E01000082,Barking and Dagenham 007E,60,1911
E01000083,Barking and Dagenham 007F,66,1919
E01000084,Barking and Dagenham 013D,42,1435
E01000085,Barking and Dagenham 013E,84,1646
E01000086,Barking and Dagenham 013F,48,1449
E01000087,Barking and Dagenham 020B,56,1636
E01000088,Barking and Dagenham 020C,64,1975
E01000089,Barking and Dagenham 020D,60,1824
E01000090,Barking and Dagenham 020E,59,1707
E01000091,Barking and Dagenham 022A,85,2091
E01000093,Barking and Dagenham 022B,57,1807
E01000094,Barking and Dagenham 022C,91,2460
E01000095,Barking and Dagenham 018E,71,2253
E01000096,Barking and Dagenham 022D,57,1658
E01000097,Barking and Dagenham 023C,50,1933
E01000098,Barking and Dagenham 023D,50,1936
E01000099,Barking and Dagenham 023E,89,2777
E01000100,Barking and Dagenham 004B,54,1944
E01000101,Barking and Dagenham 004C,61,1700
E01000102,Barking and Dagenham 007G,59,1785
E01000103,Barking and Dagenham 014A,91,1774
E01000104,Barking and Dagenham 014B,61,1918
E01000105,Barking and Dagenham 014C,93,2331
E01000106,Barking and Dagenham 014D,84,2209
E01000107,Barking and Dagenham 010C,61,1783
E01000108,Barking and Dagenham 010D,55,1914
E01000110,Barking and Dagenham 002C,49,1573
E01000111,Barking and Dagenham 002D,68,2155
E01000112,Barking and Dagenham 002E,67,1971
E01000113,Barking and Dagenham 002F,52,1995
E01000114,Barking and Dagenham 004E,57,2419
E01000115,Barnet 009A,34,1397
E01000116,Barnet 009B,40,1744
E01000117,Barnet 010A,28,1734
E01000118,Barnet 010B,53,2049
E01000119,Barnet 009C,37,1793
E01000120,Barnet 009D,57,1495
E01000121,Barnet 010C,62,1478
E01000122,Barnet 009E,30,1513
E01000123,Barnet 010D,44,1764
E01000124,Barnet 010E,63,1869
E01000126,Barnet 026A,111,2274
E01000127,Barnet 024B,50,1557
E01000128,Barnet 024C,67,2049
E01000129,Barnet 024D,61,1604
E01000130,Barnet 021A,116,1942
E01000131,Barnet 024E,62,2022
E01000132,Barnet 021B,72,1616
E01000133,Barnet 021C,44,1645
E01000134,Barnet 024F,74,1825
E01000135,Barnet 038A,34,1702
E01000136,Barnet 038B,30,1486
E01000137,Barnet 041A,71,1658
E01000138,Barnet 040A,54,1617
E01000139,Barnet 041B,46,1388
E01000140,Barnet 041C,49,1957
E01000141,Barnet 039A,88,1864
E01000142,Barnet 040B,89,2239
E01000143,Barnet 041D,58,1671
E01000144,Barnet 038C,63,1659
E01000145,Barnet 037A,32,1615
E01000146,Barnet 038D,57,1870
E01000147,Barnet 043F,43,1913
E01000150,Barnet 036A,75,2256
E01000151,Barnet 026B,69,1721
E01000152,Barnet 026C,79,2694
E01000153,Barnet 026D,64,1931
E01000154,Barnet 026E,118,1918
E01000156,Barnet 022A,67,2024
E01000157,Barnet 022B,59,1581
E01000158,Barnet 015A,33,1465
E01000159,Barnet 015B,40,1786
E01000160,Barnet 015C,54,1954
E01000161,Barnet 015D,54,2035
E01000162,Barnet 015E,48,1649
E01000163,Barnet 022C,83,1693
E01000164,Barnet 022D,70,1711
E01000165,Barnet 022E,49,1811
E01000166,Barnet 003A,50,1620
E01000167,Barnet 002A,47,1389
E01000168,Barnet 003B,28,1516
E01000169,Barnet 003C,46,1630
E01000170,Barnet 006A,66,1907
E01000171,Barnet 006B,109,2291
E01000172,Barnet 003D,34,1690
E01000173,Barnet 006C,42,1690
E01000174,Barnet 006D,51,1759
E01000175,Barnet 006E,51,2031
E01000176,Barnet 027A,105,1722
E01000177,Barnet 029A,44,1663
E01000178,Barnet 027B,47,1676
E01000179,Barnet 029B,38,1789
E01000180,Barnet 029C,47,1617
E01000181,Barnet 029D,43,1687
E01000182,Barnet 029E,49,1619
E01000183,Barnet 033A,44,1522
E01000184,Barnet 027C,74,1872
E01000185,Barnet 029F,88,1474
E01000186,Barnet 014A,37,1771
E01000187,Barnet 014B,42,1737
E01000188,Barnet 014C,22,1579
E01000189,Barnet 014D,96,2464
E01000190,Barnet 014E,50,1732
E01000191,Barnet 014F,32,1549
E01000192,Barnet 018A,44,1997
E01000193,Barnet 018B,71,1946
E01000194,Barnet 018C,62,1906
E01000195,Barnet 013A,58,2019
E01000196,Barnet 028A,146,2124
E01000197,Barnet 023A,65,1851
E01000198,Barnet 025A,57,2193
E01000199,Barnet 025B,36,1578
E01000200,Barnet 028B,46,1976
E01000201,Barnet 028C,23,1544
E01000202,Barnet 028D,42,1674
E01000203,Barnet 028E,117,1844
E01000204,Barnet 025C,46,1701
E01000205,Barnet 035A,22,1508
E01000206,Barnet 033B,14,1502
E01000207,Barnet 033C,31,1578
E01000208,Barnet 033D,28,1630
E01000209,Barnet 035B,25,1484
E01000210,Barnet 033E,32,1550
E01000211,Barnet 035C,71,2128
E01000212,Barnet 035D,25,1349
E01000213,Barnet 033F,27,1351
E01000214,Barnet 038E,37,1628
E01000215,Barnet 037B,34,2145
E01000216,Barnet 035E,46,1979
E01000217,Barnet 035F,35,1788
E01000218,Barnet 037C,30,1842
E01000219,Barnet 037D,46,2196
E01000220,Barnet 037E,46,1887
E01000221,Barnet 039B,66,1410
E01000222,Barnet 040C,62,2038
E01000223,Barnet 039C,87,2033
E01000224,Barnet 040D,57,1692
E01000225,Barnet 037F,36,1869
E01000226,Barnet 018D,68,1733
E01000227,Barnet 018E,35,1869
E01000228,Barnet 007A,28,1437
E01000229,Barnet 013B,43,1670
E01000230,Barnet 013C,41,1959
E01000231,Barnet 013D,48,1789
E01000232,Barnet 013E,32,1870
E01000233,Barnet 013F,46,1939
E01000234,Barnet 021D,39,1781
E01000235,Barnet 021E,52,1862
E01000236,Barnet 034A,43,1951
E01000237,Barnet 032A,89,2100
E01000238,Barnet 034B,61,2098
E01000239,Barnet 031A,63,2059
E01000240,Barnet 031B,40,1733
E01000241,Barnet 031C,32,1786
E01000242,Barnet 032B,34,1597
E01000243,Barnet 032C,74,2162
E01000244,Barnet 032D,57,1638
E01000245,Barnet 032E,111,2057
E01000246,Barnet 002B,41,1518
E01000247,Barnet 002C,51,1697
E01000248,Barnet 001A,34,1701
E01000249,Barnet 001B,40,1613
E01000250,Barnet 001C,110,2606
E01000251,Barnet 002D,74,2262
E01000252,Barnet 002E,77,1715
E01000253,Barnet 007B,23,1982
E01000254,Barnet 001D,35,1602
E01000255,Barnet 017A,35,1698
E01000256,Barnet 016A,47,1930
E01000257,Barnet 017B,79,2089
E01000258,Barnet 016B,47,1893
E01000259,Barnet 025D,73,2643
E01000260,Barnet 025E,63,2165
E01000261,Barnet 017C,24,1768
E01000263,Barnet 016C,22,1525
E01000264,Barnet 016D,49,1824
E01000265,Barnet 011A,68,1922
E01000266,Barnet 011B,33,1438
E01000267,Barnet 005A,19,1528
E01000268,Barnet 005B,84,2075
E01000269,Barnet 005C,32,1386
E01000270,Barnet 005D,39,1545
E01000271,Barnet 008A,50,1636
E01000272,Barnet 008B,22,1422
E01000273,Barnet 008C,57,1669
E01000274,Barnet 011C,58,1936
E01000275,Barnet 012A,41,1744
E01000276,Barnet 020A,12,1537
E01000277,Barnet 012B,60,1652
E01000278,Barnet 020B,36,1478
E01000279,Barnet 007C,18,1365
E01000280,Barnet 007D,18,1337
E01000281,Barnet 008D,44,1789
E01000282,Barnet 008E,48,1808
E01000283,Barnet 012C,29,1372
E01000284,Barnet 012D,63,1804
E01000285,Barnet 004A,45,1512
E01000286,Barnet 007E,52,1717
E01000287,Barnet 004B,37,1632
E01000288,Barnet 004C,42,1548
E01000289,Barnet 004D,71,1583
E01000290,Barnet 007F,35,1621
E01000291,Barnet 004E,46,1561
E01000292,Barnet 001E,39,1544
E01000293,Barnet 001F,35,1773
E01000294,Barnet 004F,44,1808
E01000295,Barnet 023B,43,1615
E01000296,Barnet 023C,70,1785
E01000297,Barnet 027D,42,1422
E01000298,Barnet 023D,48,1710
E01000299,Barnet 019A,81,2219
E01000300,Barnet 019B,62,1669
E01000301,Barnet 020C,29,1493
E01000302,Barnet 019C,68,1799
E01000303,Barnet 020D,35,1502
E01000304,Barnet 020E,34,1555
E01000305,Barnet 036B,70,1622
E01000306,Barnet 036C,50,1972
E01000307,Barnet 039D,43,1650
E01000308,Barnet 036D,68,2111
E01000309,Barnet 031D,72,2049
E01000310,Barnet 034C,113,2193
E01000311,Barnet 034D,29,1770
E01000312,Barnet 036E,74,1768
E01000313,Barnet 036F,75,1901
E01000314,Barnet 032F,74,2167
E01000315,Barnet 022F,69,1701
E01000316,Barnet 027E,79,2287
E01000317,Barnet 019D,46,1584
E01000318,Barnet 019E,44,1925
E01000319,Barnet 027F,43,1402
E01000320,Barnet 011D,44,1934
E01000321,Barnet 012E,84,1961
E01000322,Barnet 011E,50,1860
E01000323,Barnet 019F,73,2369
E01000324,Barnet 015F,43,1830
E01000325,Bexley 014A,37,1648
E01000326,Bexley 014B,35,1384
E01000327,Bexley 017A,28,1627
E01000328,Bexley 017B,29,1638
E01000329,Bexley 017C,39,1697
E01000330,Bexley 017D,40,1656
E01000331,Bexley 017E,42,1692
E01000332,Bexley 005A,39,1590
E01000333,Bexley 003A,57,1917
E01000334,Bexley 006A,39,1676
E01000335,Bexley 003B,105,2727
E01000336,Bexley 003C,79,1998
E01000337,Bexley 003D,48,1736
E01000338,Bexley 003E,52,1854
E01000339,Bexley 025A,30,1620
E01000340,Bexley 018A,28,1584
E01000341,Bexley 022A,27,1543
E01000342,Bexley 022B,33,1524
E01000343,Bexley 022C,29,1509
E01000344,Bexley 025B,30,1594
E01000345,Bexley 022D,17,1341
E01000346,Bexley 021A,26,1589
E01000347,Bexley 021B,18,1521
E01000348,Bexley 020A,33,1514
E01000349,Bexley 020B,38,1724
E01000350,Bexley 021C,28,1484
E01000351,Bexley 024A,25,1612
E01000352,Bexley 021D,40,1618
E01000353,Bexley 011A,30,1636
E01000354,Bexley 011B,25,1490
E01000355,Bexley 011C,25,1441
E01000356,Bexley 009A,30,1569
E01000357,Bexley 009B,23,1404
E01000358,Bexley 011D,46,1658
E01000359,Bexley 009C,23,1265
E01000360,Bexley 015A,47,1910
E01000361,Bexley 020C,31,1591
E01000362,Bexley 015B,39,1864
E01000363,Bexley 020D,26,1557
E01000364,Bexley 023A,53,1698
E01000365,Bexley 015C,46,1728
E01000366,Bexley 015D,40,1640
E01000367,Bexley 010A,76,2265
E01000368,Bexley 010B,50,1679
