msoa21cd,eur21,pop21
E02000001,1926,8582
E02000002,1102,8280
E02000003,1930,11542
E02000004,808,6640
E02000005,1541,11082
E02000007,1365,10159
E02000008,2125,13249
E02000009,2431,12860
E02000010,1700,9487
E02000011,1266,7028
E02000012,1129,11511
E02000013,1688,9398
E02000014,1799,9865
E02000015,1142,8229
E02000016,2022,10568
E02000017,1988,9132
E02000018,1683,9553
E02000019,1591,9663
E02000020,2520,14055
E02000021,1596,8759
E02000022,1327,7741
E02000023,989,8018
E02000024,1362,10841
E02000025,1200,8583
E02000026,906,6457
E02000027,1307,9647
E02000028,958,6531
E02000029,1692,9678
E02000030,952,9459
E02000031,1212,8333
E02000032,1481,7940
E02000033,1556,8892
E02000034,1760,9088
E02000035,1635,8530
E02000036,1701,11244
E02000037,1204,10834
E02000038,1936,10717
E02000039,997,7169
E02000040,1151,9140
E02000041,1872,9455
E02000042,2307,11559
E02000043,997,7570
E02000044,1521,8843
E02000045,2115,10524
E02000046,1582,6962
E02000047,2711,12397
E02000048,1478,10283
E02000049,1695,10531
E02000050,1885,10379
E02000051,1490,9160
E02000052,1824,9846
E02000054,1817,7631
E02000055,3214,11726
E02000056,1159,9130
E02000057,1610,8013
E02000058,1818,10228
E02000059,3100,11626
E02000060,1941,11558
E02000061,1667,8345
E02000062,1481,6958
E02000063,1761,7584
E02000064,1249,6676
E02000065,871,8062
E02000066,1086,9430
E02000067,1400,10230
E02000068,793,8176
E02000069,617,7212
E02000070,599,8112
E02000071,447,7675
E02000072,1067,12926
E02000073,550,10726
E02000074,589,8861
E02000075,359,7986
E02000077,595,8142
E02000078,421,7932
E02000079,792,8768
E02000080,841,10063
E02000081,570,8306
E02000082,581,9336
E02000083,873,11267
E02000084,570,11115
E02000085,476,7959
E02000086,344,7178
E02000087,387,8209
E02000088,311,7750
E02000089,349,7869
E02000090,662,9638
E02000091,603,10162
E02000092,388,6752
E02000093,2796,11877
E02000094,2327,10460
E02000095,2458,10461
E02000096,1179,7632
E02000097,2361,9532
E02000098,1713,8744
E02000099,2469,9560
E02000100,1131,8323
E02000101,1871,9937
E02000102,1619,8329
E02000103,1908,9974
E02000104,1473,7505
E02000105,1617,9845
E02000106,2480,10353
E02000107,2523,10939
E02000108,1164,7259
E02000110,1676,8175
E02000111,1202,11282
E02000112,1723,11749
E02000113,968,9630
E02000114,2096,8996
E02000115,1835,8622
E02000116,1588,8549
E02000117,1679,12731
E02000118,1304,11294
E02000119,1239,10625
E02000120,1966,9016
E02000121,1283,12240
E02000122,1351,8177
E02000123,2291,13578
E02000124,1730,9953
E02000125,1520,9935
E02000126,1176,8196
E02000127,1090,9330
E02000128,586,7788
E02000130,899,8426
E02000131,1504,10482
E02000132,1282,9834
E02000133,752,10754
E02000134,1510,11751
E02000135,1182,9871
E02000136,374,5744
E02000137,898,8400
E02000138,991,8500
E02000139,682,7712
E02000140,650,8680
E02000141,703,7232
E02000142,781,8817
E02000144,1306,10063
E02000145,814,8824
E02000146,770,9699
E02000147,516,8191
E02000148,426,6723
E02000149,606,8166
E02000150,605,8516
E02000151,397,7546
E02000152,559,7963
E02000153,365,8107
E02000154,605,8528
E02000155,415,7157
E02000156,766,12295
E02000157,350,8366
E02000158,482,7788
E02000159,328,7117
E02000160,444,8110
E02000161,387,8702
E02000162,306,7123
E02000163,312,7719
E02000165,238,7171
E02000166,976,7746
E02000167,1275,7197
E02000168,1120,7813
E02000169,1451,7178
E02000170,1625,7916
E02000171,1240,7390
E02000172,1449,9998
E02000173,1686,7493
E02000174,1296,8087
E02000175,1876,9082
E02000176,1433,5914
E02000177,1357,8486
E02000178,1786,8904
E02000179,1052,5748
E02000180,1344,7879
E02000181,1942,8076
E02000182,1320,7118
E02000183,1263,7591
E02000184,1628,8908
E02000185,1688,8883
E02000186,1185,6223
E02000187,1243,9782
E02000188,1042,7179
E02000191,1294,5337
E02000192,1134,6659
E02000193,1137,5961
E02000194,1039,9213
E02000195,1135,9648
E02000196,1185,7914
E02000197,1401,9024
E02000198,1264,8888
E02000199,1017,8416
E02000200,1130,9049
E02000201,1031,8694
E02000202,1100,8931
E02000203,1111,7965
E02000204,1057,9655
E02000206,1479,10818
E02000207,877,8901
E02000208,1265,10863
E02000209,1014,9067
E02000210,1139,8714
E02000211,605,8272
E02000212,1126,9461
E02000213,1979,12798
E02000214,594,6236
E02000215,2072,11826
E02000216,834,7162
E02000217,2132,11925
E02000218,471,6671
E02000219,504,7629
E02000221,1031,10858
E02000222,974,8350
