msoa21cd,eur21,pop21
W02000001,124,8405
W02000002,86,6363
W02000003,228,10634
W02000004,145,7399
W02000005,171,8164
W02000006,134,7040
W02000007,115,6894
W02000008,149,5951
W02000009,127,8032
W02000010,663,8615
W02000011,296,8383
W02000012,177,8209
W02000013,129,6426
W02000014,108,6741
W02000015,189,8517
W02000016,121,6359
W02000017,92,7575
W02000018,103,6081
W02000019,154,6660
W02000020,122,6485
W02000021,238,7754
W02000022,75,5552
W02000023,120,5284
W02000024,160,5679
W02000025,121,6128
W02000026,102,6956
W02000027,668,8419
W02000028,274,6709
W02000029,165,6000
W02000030,161,5884
W02000031,122,8172
W02000032,206,8387
W02000033,214,6958
W02000034,210,7667
W02000035,179,8897
W02000036,224,11285
W02000037,190,7199
W02000038,145,6209
W02000039,151,7843
W02000040,91,6597
W02000041,172,8520
W02000042,124,5862
W02000043,106,5246
W02000044,94,5301
W02000045,355,9569
W02000047,138,5566
W02000049,108,6659
W02000050,105,6381
W02000051,101,5302
W02000052,97,5004
W02000053,96,6318
W02000054,90,6132
W02000055,149,5698
W02000056,104,5186
W02000057,161,6236
W02000058,95,5130
W02000059,142,6577
W02000060,490,10750
W02000061,700,7631
W02000062,277,6107
W02000063,132,8105
W02000064,744,6120
W02000065,575,7275
W02000066,1229,9843
W02000067,171,6831
W02000068,624,5193
W02000069,105,6260
W02000070,308,10627
W02000071,157,7038
W02000072,651,11669
W02000073,299,10148
W02000074,283,9851
W02000075,129,6439
W02000076,108,7322
W02000077,109,6042
W02000080,222,7875
W02000081,181,5957
W02000082,277,7674
W02000083,265,8688
W02000085,559,8924
W02000087,678,6861
W02000088,1393,8679
W02000089,1546,8610
W02000090,139,5702
W02000091,223,6197
W02000092,288,6726
W02000093,187,6553
W02000094,163,8899
W02000095,95,6387
W02000096,125,6459
W02000097,157,9311
W02000098,90,6261
W02000099,543,6637
W02000100,97,6210
W02000101,89,5537
W02000102,75,6152
W02000103,114,5790
W02000104,271,6196
W02000105,252,5165
W02000106,171,6493
W02000107,214,9776
W02000108,96,7211
W02000109,207,5598
W02000110,126,6840
W02000111,178,8457
W02000113,320,8256
W02000114,149,6943
W02000116,176,7359
W02000117,1031,8971
W02000118,379,6457
W02000120,146,7077
W02000122,114,6330
W02000123,363,7673
W02000124,188,8673
W02000125,170,7445
W02000126,172,8223
W02000127,302,9627
W02000128,157,7235
W02000129,170,7223
W02000130,288,6707
W02000131,221,7203
W02000132,159,6979
W02000133,192,8278
W02000134,167,8332
W02000135,240,7350
W02000136,196,8304
W02000137,206,7448
W02000138,315,9655
W02000139,165,7724
W02000140,165,7278
W02000141,211,5780
W02000142,248,5570
W02000143,162,5579
W02000144,166,7605
W02000145,149,7089
W02000146,148,6525
W02000147,320,8471
W02000148,252,5288
W02000149,236,6452
W02000151,96,7409
W02000152,145,8655
W02000153,165,8671
W02000154,161,7840
W02000156,170,8420
W02000157,158,10109
W02000158,125,5888
W02000159,100,6193
W02000160,115,7653
W02000161,161,5195
W02000162,127,8213
W02000163,271,5336
W02000164,322,7438
W02000165,418,6588
W02000166,286,9166
W02000167,910,10307
W02000168,68,6515
W02000169,185,9133
W02000170,208,8679
W02000171,131,8447
W02000172,210,10251
W02000173,208,7898
W02000174,133,9638
W02000175,402,7350
W02000176,223,8947
W02000177,263,6997
W02000178,620,8914
W02000179,95,6479
W02000180,280,8012
W02000181,281,7407
W02000182,197,7526
W02000183,627,10215
W02000184,201,6773
W02000185,76,5028
W02000186,668,8837
W02000188,579,8077
W02000189,278,8245
W02000191,491,8780
W02000192,907,9124
W02000193,609,8817
W02000194,261,6537
W02000195,146,5788
W02000196,176,6276
W02000197,128,6041
W02000198,222,7257
W02000200,55,5128
W02000201,42,5284
W02000202,170,12454
W02000204,82,6602
W02000205,75,5728
W02000206,147,6603
W02000207,51,5249
W02000208,360,12712
W02000210,100,6182
W02000211,181,7821
W02000212,64,7740
W02000213,136,6752
W02000214,186,9655
W02000215,291,9464
W02000216,119,7192
W02000217,96,6397
W02000218,76,6665
W02000219,69,7175
W02000220,84,7982
W02000221,102,7688
W02000222,51,6175
W02000223,124,6005
